1,1,Pilot,1,1,03/24/2005,23,"The premiere episode introduces the boss and staff of the Dunder-Mifflin Paper Company in Scranton, Pennsylvania in a documentary about the workplace.",Standard
2,1,Diversity Day,1,2,03/29/2005,22,"Michael's off color remark puts a sensitivity trainer in the office for a presentation, which prompts Michael to create his own.",Standard
3,1,Health Care,1,3,04/05/2005,22,"Michael leaves Dwight in charge of picking the new healthcare plan for the staff, with disastrous results ahead.",Standard
4,1,The Alliance,1,4,04/12/2005,23,"Just for a laugh, Jim agrees to an alliance with Dwight regarding the downsizing rumors.",Standard
5,1,Basketball,1,5,04/19/2005,23,Michael and his staff challenge the warehouse workers to a basketball game with a bet looming over both parties.,Standard
6,1,Hot Girl,1,6,04/26/2005,23,Michael is just one of the many male staff who start vying for the attention of an attractive saleswoman in the office.,Standard
7,1,The Dundies,2,1,09/20/2005,21,"Very much unlike his staff, an overeager Michael can't wait for this year's annual Dundies awards.",Standard
8,1,Sexual Harassment,2,2,09/27/2005,22,The office reviews its sexual harassment policy in light of explicit e-mails.,Standard
9,1,Office Olympics,2,3,10/04/2005,22,"Ready to finalize his deal for a new condo, Michael is away with Dwight while Jim rallies the staff together for office games.",Standard
10,1,The Fire,2,4,10/11/2005,22,A fire in the kitchen relegates the staff to the parking lot as help is on its way.,Standard
11,1,Halloween,2,5,10/18/2005,30,"Michael is pressured by corporate to fire someone, which puts a damper on the office Halloween party.",Standard
12,1,The Fight,2,6,11/01/2005,22,Jim rallies the staff together to witness a showdown between Michael and Dwight at Dwight's martial arts school.,Standard
13,1,The Client,2,7,11/08/2005,22,"With Michael and Jan Levinson-Gould away from the office to land a new client, the staff discovers an unproduced screenplay in Michael's office.",Standard
14,1,Performance Review,2,8,11/15/2005,22,"Instead of talking to his employees about their work, Michael uses their annual review time to gather feedback on his ""relationship"" with Jan.",Standard
15,1,E-Mail Surveillance,2,9,11/22/2005,23,"Michael decides to set up e-mail surveillance for all company e-mail, and discovers that Jim has invited everyone over for a barbeque except him.",Standard
16,1,Christmas Party,2,10,12/06/2005,22,"Seeing the party is headed for disastrous boredom, Michael breaks corporate policy to buy alcohol for the staff.",Standard
17,1,Booze Cruise,2,11,01/05/2006,22,"The Dunder Mifflin staff go on a mandatory ""booze cruise"" to hear Michael give a motivational talk.",Standard
